city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Hameln,52.1000,9.3667,Germany,DE,Lower Saxony,minor,57510,57394
Frankfurt (Oder),52.3419,14.5517,Germany,DE,Brandenburg,minor,57015,56679
Meerbusch,51.2667,6.6667,Germany,DE,North Rhine-Westphalia,,56855,56855
Stolberg,50.7667,6.2333,Germany,DE,North Rhine-Westphalia,,56792,56103
Görlitz,51.1528,14.9872,Germany,DE,Saxony,minor,56563,56563
Eschweiler,50.8167,6.2833,Germany,DE,North Rhine-Westphalia,,56385,55784
Langenhagen,52.4394,9.7400,Germany,DE,Lower Saxony,,56288,54712
Sankt Augustin,50.7700,7.1867,Germany,DE,North Rhine-Westphalia,,55767,55563
Hilden,51.1714,6.9394,Germany,DE,North Rhine-Westphalia,,55764,55182
Lingen,52.5231,7.3231,Germany,DE,Lower Saxony,,55599,55599
Baden-Baden,48.7628,8.2408,Germany,DE,Baden-Württemberg,minor,55527,55527
Waiblingen,48.8303,9.3169,Germany,DE,Baden-Württemberg,minor,55526,55526
Pulheim,51.0000,6.8000,Germany,DE,North Rhine-Westphalia,,54805,54805
Hattingen,51.3992,7.1858,Germany,DE,North Rhine-Westphalia,,54562,54061
Bad Homburg,50.2167,8.6000,Germany,DE,Hesse,minor,54248,54144
Nordhorn,52.4319,7.0678,Germany,DE,Lower Saxony,minor,54162,54162
Bad Salzuflen,52.0833,8.7467,Germany,DE,North Rhine-Westphalia,,54127,54074
Schweinfurt,50.0500,10.2333,Germany,DE,Bavaria,,54032,53585
Neustadt,49.3500,8.1500,Germany,DE,Rhineland-Palatinate,minor,53491,53491
Passau,48.5744,13.4647,Germany,DE,Bavaria,minor,53093,53093
Wetzlar,50.5667,8.5000,Germany,DE,Hesse,minor,52969,52969
Ahlen,51.7633,7.8911,Germany,DE,North Rhine-Westphalia,,52627,52627
Frechen,50.9167,6.8167,Germany,DE,North Rhine-Westphalia,,52473,52155
Kleve,51.7900,6.1400,Germany,DE,North Rhine-Westphalia,minor,52470,52470
Wolfenbüttel,52.1622,10.5369,Germany,DE,Lower Saxony,minor,52174,51986
Ibbenbüren,52.2778,7.7167,Germany,DE,North Rhine-Westphalia,,51904,51888
Bad Kreuznach,49.8500,7.8667,Germany,DE,Rhineland-Palatinate,minor,51695,51695
Gummersbach,51.0333,7.5667,Germany,DE,North Rhine-Westphalia,minor,51126,51126
Ravensburg,47.7831,9.6114,Germany,DE,Baden-Württemberg,minor,50928,50928
Goslar,51.9072,10.4300,Germany,DE,Lower Saxony,minor,50753,50010
Willich,51.2631,6.5492,Germany,DE,North Rhine-Westphalia,,50592,50133
Speyer,49.3194,8.4311,Germany,DE,Rhineland-Palatinate,minor,50565,50565
Böblingen,48.6856,9.0153,Germany,DE,Baden-Württemberg,minor,50470,50470
Peine,52.3203,10.2336,Germany,DE,Lower Saxony,minor,50461,50461
Rastatt,48.8500,8.2000,Germany,DE,Baden-Württemberg,minor,50441,50441
Elmshorn,53.7519,9.6511,Germany,DE,Schleswig-Holstein,,50141,50141
Emden,53.3669,7.2061,Germany,DE,Lower Saxony,minor,49913,49523
Erftstadt,50.8167,6.7667,Germany,DE,North Rhine-Westphalia,,49801,49667
Heidenheim,48.6761,10.1544,Germany,DE,Baden-Württemberg,minor,49526,49129
Lörrach,47.6167,7.6667,Germany,DE,Baden-Württemberg,minor,49347,49318
Gronau,52.2125,7.0417,Germany,DE,North Rhine-Westphalia,,49031,49031
Leonberg,48.8014,9.0131,Germany,DE,Baden-Württemberg,,48931,48931
Bad Oeynhausen,52.2000,8.8000,Germany,DE,North Rhine-Westphalia,,48803,48803
Frankenthal,49.5333,8.3500,Germany,DE,Rhineland-Palatinate,minor,48773,48773
Bergkamen,51.6167,7.6333,Germany,DE,North Rhine-Westphalia,,48725,48669
Rheda-Wiedenbrück,51.8417,8.3000,Germany,DE,North Rhine-Westphalia,,48714,48714
Freising,48.4028,11.7489,Germany,DE,Bavaria,minor,48634,48582
Bornheim,50.7592,7.0050,Germany,DE,North Rhine-Westphalia,,48435,48435
Cuxhaven,53.8611,8.6944,Germany,DE,Lower Saxony,minor,48356,48318
Soest,51.5711,8.1092,Germany,DE,North Rhine-Westphalia,minor,47929,47929
Straubing,48.8833,12.5667,Germany,DE,Bavaria,minor,47854,47854
Dachau,48.2603,11.4342,Germany,DE,Bavaria,minor,47738,47738
Alsdorf,50.8833,6.1667,Germany,DE,North Rhine-Westphalia,,47678,47678
Stade,53.6008,9.4764,Germany,DE,Lower Saxony,minor,47579,47579
Hennef,50.7833,7.2833,Germany,DE,North Rhine-Westphalia,,47400,47400
Landau,49.2000,8.1167,Germany,DE,Rhineland-Palatinate,minor,46919,46919
Dülmen,51.8308,7.2783,Germany,DE,North Rhine-Westphalia,,46877,46877
Melle,52.2044,8.3389,Germany,DE,Lower Saxony,,46732,46732
Oberursel,50.2033,8.5769,Germany,DE,Hesse,,46660,46660
Oranienburg,52.7544,13.2369,Germany,DE,Brandenburg,minor,46555,46555
Neunkirchen,49.3500,7.1667,Germany,DE,Saarland,minor,46469,46098
Herzogenrath,50.8667,6.1000,Germany,DE,North Rhine-Westphalia,,46402,46290
Schwerte,51.4458,7.5653,Germany,DE,North Rhine-Westphalia,,46340,46240
Halle-Neustadt,51.4789,11.9214,Germany,DE,Saxony-Anhalt,,46280,46280
Wittenberg,51.8671,12.6484,Germany,DE,Saxony-Anhalt,minor,46008,46008
Hof,50.3167,11.9167,Germany,DE,Bavaria,minor,45930,45125
Rodgau,50.0167,8.8833,Germany,DE,Hesse,,45847,45847
Filderstadt,48.6803,9.2183,Germany,DE,Baden-Württemberg,,45814,45814
Albstadt,48.2119,9.0239,Germany,DE,Baden-Württemberg,,45737,45737
Gotha,50.9489,10.7183,Germany,DE,Thuringia,minor,45733,45099
Fellbach,48.8086,9.2758,Germany,DE,Baden-Württemberg,,45671,45141
Bruchsal,49.1333,8.6000,Germany,DE,Baden-Württemberg,,45644,45644
Bünde,52.2000,8.6000,Germany,DE,North Rhine-Westphalia,,45521,45364
Weinheim,49.5500,8.6667,Germany,DE,Baden-Württemberg,,45284,45197
Kaufbeuren,47.8800,10.6225,Germany,DE,Bavaria,minor,45118,45118
Neustadt am Rübenberge,52.5000,9.4667,Germany,DE,Lower Saxony,,44796,44796
Memmingen,47.9878,10.1811,Germany,DE,Bavaria,minor,44721,44721
Brühl,50.8333,6.9000,Germany,DE,North Rhine-Westphalia,,44397,43998
Erkrath,51.2239,6.9147,Germany,DE,North Rhine-Westphalia,,44384,43594
Lehrte,52.3667,9.9667,Germany,DE,Lower Saxony,,44369,44369
Falkensee,52.5583,13.0917,Germany,DE,Brandenburg,,44280,44280
Kaarst,51.2167,6.6167,Germany,DE,North Rhine-Westphalia,,43661,43661
Pinneberg,53.6333,9.8000,Germany,DE,Schleswig-Holstein,minor,43603,43603
Erkelenz,51.0833,6.3167,Germany,DE,North Rhine-Westphalia,,43492,43492
Bietigheim-Bissingen,48.9667,9.1333,Germany,DE,Baden-Württemberg,,43146,43137
Gifhorn,52.4886,10.5464,Germany,DE,Lower Saxony,minor,42993,42993
Borken,51.8333,6.8667,Germany,DE,North Rhine-Westphalia,minor,42974,42974
Kamen,51.5917,7.6653,Germany,DE,North Rhine-Westphalia,,42971,42544
Heinsberg,51.0631,6.0964,Germany,DE,North Rhine-Westphalia,minor,42888,42888
Wismar,53.9000,11.4667,Germany,DE,Mecklenburg-Western Pomerania,minor,42785,42785
Aurich,53.4714,7.4836,Germany,DE,Lower Saxony,minor,42544,42544
Nettetal,51.3167,6.2833,Germany,DE,North Rhine-Westphalia,,42508,42508
Eisenach,50.9761,10.3206,Germany,DE,Thuringia,minor,42370,41806
Dreieich,50.0000,8.7000,Germany,DE,Hesse,,42091,41811
Amberg,49.4444,11.8483,Germany,DE,Bavaria,minor,41994,41994
Laatzen,52.3167,9.8000,Germany,DE,Lower Saxony,,41965,41965
Seevetal,53.3833,10.0333,Germany,DE,Lower Saxony,,41931,41931
Ansbach,49.3000,10.5833,Germany,DE,Bavaria,minor,41847,41662
Homburg,49.3167,7.3333,Germany,DE,Saarland,minor,41811,41612
Nordhausen,51.5050,10.7911,Germany,DE,Thuringia,minor,41791,40563
Siegburg,50.8014,7.2044,Germany,DE,North Rhine-Westphalia,minor,41660,41660
Wunstorf,52.4275,9.4294,Germany,DE,Lower Saxony,,41594,41481
Germering,48.1333,11.3667,Germany,DE,Bavaria,,41387,40461
Coburg,50.2667,10.9667,Germany,DE,Bavaria,minor,41249,40955
Königswinter,50.6736,7.1947,Germany,DE,North Rhine-Westphalia,,41243,41065
Schwabach,49.3292,11.0208,Germany,DE,Bavaria,minor,41146,41146
Schwäbisch Hall,49.1122,9.7375,Germany,DE,Baden-Württemberg,minor,41141,41141
Eberswalde,52.8333,13.8333,Germany,DE,Brandenburg,minor,41103,41103
Nürtingen,48.6333,9.3333,Germany,DE,Baden-Württemberg,,41093,40885
Kirchheim unter Teck,48.6483,9.4511,Germany,DE,Baden-Württemberg,,40954,40954
Hückelhoven,51.0608,6.2197,Germany,DE,North Rhine-Westphalia,,40712,40712
Lemgo,52.0272,8.9117,Germany,DE,North Rhine-Westphalia,,40696,40345
Bensheim,49.6667,8.6167,Germany,DE,Hesse,,40629,40629
Freiberg,50.9119,13.3428,Germany,DE,Saxony,minor,40461,40461
Weißenfels,51.2000,11.9667,Germany,DE,Saxony-Anhalt,,40409,39745
Pirmasens,49.2000,7.6000,Germany,DE,Rhineland-Palatinate,minor,40403,40054
Neumarkt,49.2833,11.4667,Germany,DE,Bavaria,minor,40274,40274
Halberstadt,51.8958,11.0467,Germany,DE,Saxony-Anhalt,minor,40256,38682
Buchholz in der Nordheide,53.3167,9.8667,Germany,DE,Lower Saxony,,40164,40164
Buxtehude,53.4769,9.7011,Germany,DE,Lower Saxony,,40150,40139
Leinfelden-Echterdingen,48.6928,9.1428,Germany,DE,Baden-Württemberg,,40100,40100
Löhne,52.2000,8.7000,Germany,DE,North Rhine-Westphalia,,39977,39977
Hofheim,50.0833,8.4500,Germany,DE,Hesse,minor,39766,39704
Ahaus,52.0667,7.0000,Germany,DE,North Rhine-Westphalia,,39658,39658
Schorndorf,48.8000,9.5333,Germany,DE,Baden-Württemberg,,39642,39642
Freital,51.0167,13.6500,Germany,DE,Saxony,,39577,39577
Stendal,52.6000,11.8500,Germany,DE,Saxony-Anhalt,minor,39439,38359
Völklingen,49.2500,6.8333,Germany,DE,Saarland,,39428,39428
Ostfildern,48.7333,9.2500,Germany,DE,Baden-Württemberg,,39376,39376
Ettlingen,48.9333,8.4000,Germany,DE,Baden-Württemberg,,39339,39278
Maintal,50.1500,8.8333,Germany,DE,Hesse,,39298,39287
Pirna,50.9622,13.9403,Germany,DE,Saxony,minor,39027,39027
Ilmenau,50.6839,10.9194,Germany,DE,Thuringia,,39017,38521
Mettmann,51.2500,6.9667,Germany,DE,North Rhine-Westphalia,minor,38829,38808
Würselen,50.8167,6.1333,Germany,DE,North Rhine-Westphalia,,38712,38480
Niederkassel,50.8167,7.0333,Germany,DE,North Rhine-Westphalia,,38694,38694
Langen,49.9833,8.6667,Germany,DE,Hesse,,38651,38651
Neu Isenburg,50.0500,8.7000,Germany,DE,Hesse,,38532,38532
Bitterfeld,51.6167,12.3167,Germany,DE,Saxony-Anhalt,,38475,37047
Königs Wusterhausen,52.2917,13.6250,Germany,DE,Brandenburg,,38283,38283
Bautzen,51.1814,14.4242,Germany,DE,Saxony,minor,38261,38261
Papenburg,53.0667,7.4000,Germany,DE,Lower Saxony,,37885,37885
Kamp-Lintfort,51.5000,6.5333,Germany,DE,North Rhine-Westphalia,,37847,37847
Greven,52.0917,7.6083,Germany,DE,North Rhine-Westphalia,,37700,37700
Fürstenfeldbruck,48.1778,11.2556,Germany,DE,Bavaria,minor,37677,37063
Backnang,48.9464,9.4306,Germany,DE,Baden-Württemberg,,37558,37460
Wesseling,50.8167,6.9667,Germany,DE,North Rhine-Westphalia,,37519,37519
Kehl,48.5667,7.8167,Germany,DE,Baden-Württemberg,,37378,37378
Warendorf,51.9539,7.9933,Germany,DE,North Rhine-Westphalia,minor,37226,37146
Suhl,50.6106,10.6931,Germany,DE,Thuringia,minor,36955,36054
Beckum,51.7550,8.0403,Germany,DE,North Rhine-Westphalia,,36737,36737
Tuttlingen,47.9850,8.8233,Germany,DE,Baden-Württemberg,minor,36672,36672
Erding,48.2833,11.9000,Germany,DE,Bavaria,minor,36469,36414
Coesfeld,51.9500,7.1667,Germany,DE,North Rhine-Westphalia,minor,36382,36382
Mühlhausen,51.2167,10.4500,Germany,DE,Thuringia,minor,36200,35797
Cloppenburg,52.8500,8.0500,Germany,DE,Lower Saxony,minor,36183,36183
Emsdetten,52.1728,7.5344,Germany,DE,North Rhine-Westphalia,,36012,35927
Voerde,51.6000,6.6833,Germany,DE,North Rhine-Westphalia,,35889,35889
Limburg,50.3833,8.0667,Germany,DE,Hesse,minor,35783,35783
Sankt Ingbert,49.3000,7.1167,Germany,DE,Saarland,,35714,34971
Sinsheim,49.2500,8.8833,Germany,DE,Baden-Württemberg,,35707,35707
Porta Westfalica,52.2167,8.9333,Germany,DE,North Rhine-Westphalia,,35671,35658
Winsen,53.3667,10.2167,Germany,DE,Lower Saxony,minor,35630,35630
Ingelheim,49.9747,8.0564,Germany,DE,Rhineland-Palatinate,minor,35486,35486
Meppen,52.6936,7.2928,Germany,DE,Lower Saxony,minor,35415,35415
Leer,53.2308,7.4528,Germany,DE,Lower Saxony,minor,35078,35078
Lage,51.9889,8.7944,Germany,DE,North Rhine-Westphalia,,35047,34686
Bad Vilbel,50.1781,8.7361,Germany,DE,Hesse,,34905,34905
Datteln,51.6539,7.3417,Germany,DE,North Rhine-Westphalia,,34876,34876
Crailsheim,49.1347,10.0706,Germany,DE,Baden-Württemberg,,34862,34862
Mörfelden-Walldorf,50.0000,8.5833,Germany,DE,Hesse,,34828,34641
Wermelskirchen,51.1500,7.2167,Germany,DE,North Rhine-Westphalia,,34765,34480
Steinfurt,52.1475,7.3442,Germany,DE,North Rhine-Westphalia,minor,34645,34645
Balingen,48.2731,8.8506,Germany,DE,Baden-Württemberg,minor,34604,34604
Kempen,51.3658,6.4194,Germany,DE,North Rhine-Westphalia,,34597,34562
Goch,51.6839,6.1619,Germany,DE,North Rhine-Westphalia,,34593,34593
Saarlouis,49.3167,6.7500,Germany,DE,Saarland,minor,34552,34445
Dietzenbach,50.0167,8.7833,Germany,DE,Hesse,,34517,34517
Deggendorf,48.8333,12.9667,Germany,DE,Bavaria,minor,34454,34454
Seelze,52.3961,9.5981,Germany,DE,Lower Saxony,,34442,34271
Barsinghausen,52.3000,9.4811,Germany,DE,Lower Saxony,,34327,34327
